[1453957200] LOG ROTATION: DAILY
[1453957200] LOG VERSION: 2.0
[1453957200] CURRENT HOST STATE: ADAUTHDC1;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.46 ms
[1453957200] CURRENT HOST STATE: ADAUTHDC3;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[1453957200] CURRENT HOST STATE: ADCA1;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[1453957200] CURRENT HOST STATE: ADCA2;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.46 ms
[1453957200] CURRENT HOST STATE: ADDC1;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.42 ms
[1453957200] CURRENT HOST STATE: ADDC2;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.51 ms
[1453957200] CURRENT HOST STATE: ADDC3;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.52 ms
[1453957200] CURRENT HOST STATE: ADDC4;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.61 ms
[1453957200] CURRENT HOST STATE: ADDC5;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.61 ms
[1453957200] CURRENT HOST STATE: ADDC6;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.53 ms
[1453957200] CURRENT HOST STATE: ADDFS01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.57 ms
[1453957200] CURRENT HOST STATE: ADWSUSCLIENTS;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.43 ms
[1453957200] CURRENT HOST STATE: ADWSUSSERVERS;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.43 ms
[1453957200] CURRENT HOST STATE: CSCFILESERV;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.43 ms
[1453957200] CURRENT HOST STATE: EMU-VALUE01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.53 ms
[1453957200] CURRENT HOST STATE: EMUPRINTPS;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.50 ms
[1453957200] CURRENT HOST STATE: EMUSCRIPT;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[1453957200] CURRENT HOST STATE: EMUSQLEXPRESS;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.44 ms
[1453957200] CURRENT HOST STATE: HDBACKUPS;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.42 ms
[1453957200] CURRENT HOST STATE: IMAGES;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.42 ms
[1453957200] CURRENT HOST STATE: LANSWEEPER;DOWN;HARD;10;(Host check timed out after 30.00 seconds)
[1453957200] CURRENT HOST STATE: MBAM;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.69 ms
[1453957200] CURRENT HOST STATE: MBAMDB;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.51 ms
[1453957200] CURRENT HOST STATE: NETIDAD;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.52 ms
[1453957200] CURRENT HOST STATE: OFFICEKMS;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.51 ms
[1453957200] CURRENT HOST STATE: REFWIN;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.54 ms
[1453957200] CURRENT HOST STATE: alexanderpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.52 ms
[1453957200] CURRENT HOST STATE: crossroadspk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.65 ms
[1453957200] CURRENT HOST STATE: eateriespk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.59 ms
[1453957200] CURRENT HOST STATE: hallefirst1;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.55 ms
[1453957200] CURRENT HOST STATE: hallefirst2;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.47 ms
[1453957200] CURRENT HOST STATE: hallefirst3;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.52 ms
[1453957200] CURRENT HOST STATE: hallefirstcolor;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.43 ms
[1453957200] CURRENT HOST STATE: halleground1;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.58 ms
[1453957200] CURRENT HOST STATE: halleground2;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.55 ms
[1453957200] CURRENT HOST STATE: halleground3;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.61 ms
[1453957200] CURRENT HOST STATE: hallegroundcolor;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.41 ms
[1453957200] CURRENT HOST STATE: hallesecondsouth;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.57 ms
[1453957200] CURRENT HOST STATE: hallesouthcommons;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.40 ms
[1453957200] CURRENT HOST STATE: hallethirdnorth;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.39 ms
[1453957200] CURRENT HOST STATE: hallethirdsouth;DOWN;HARD;10;(Host check timed out after 30.00 seconds)
[1453957200] CURRENT HOST STATE: markjeffersonpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.71 ms
[1453957200] CURRENT HOST STATE: marshallpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.50 ms
[1453957200] CURRENT HOST STATE: mckennypk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.49 ms
[1453957200] CURRENT HOST STATE: owen101lab1;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.65 ms
[1453957200] CURRENT HOST STATE: owen101lab2;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.67 ms
[1453957200] CURRENT HOST STATE: owen101lab3;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.56 ms
[1453957200] CURRENT HOST STATE: owen101labcolor;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.50 ms
[1453957200] CURRENT HOST STATE: porterpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.50 ms
[1453957200] CURRENT HOST STATE: prayharroldpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.67 ms
[1453957200] CURRENT HOST STATE: rackhampk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.47 ms
[1453957200] CURRENT HOST STATE: rooseveltpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.54 ms
[1453957200] CURRENT HOST STATE: sillpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[1453957200] CURRENT HOST STATE: strongpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.52 ms
[1453957200] CURRENT HOST STATE: studentcenterpk;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.63 ms
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;AD Replication;OK;HARD;1;OK: replication is up and running
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;C:\ Drive Space;OK;HARD;1;c:\ - total: 79.66 Gb - used: 12.50 Gb (16%) - free 67.15 Gb (84%)
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Memory Usage;OK;HARD;1;Memory usage: total:10943.64 MB - used: 2944.57 MB (27%) - free: 7999.08 MB (73%)
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;NSClient++ Version;OK;HARD;1;NSClient++ 0.4.4.15 2015-11-25
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: AD Domain Service;OK;HARD;1;NTDS: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: AD Web Service;OK;HARD;1;ADWS: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: DFS Namespace;OK;HARD;1;Dfs: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: DNS Client;OK;HARD;1;Dnscache: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: DNS Service;OK;HARD;1;DNS: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: Distributed File System Replication;OK;HARD;1;DFSR: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: Firewall;OK;HARD;1;MpsSvc: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: Group Policy;OK;HARD;1;gpsvc: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: Intersite Messaging;OK;HARD;1;IsmServ: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: Key Distribution Center;OK;HARD;1;KDC: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: NetLogin;OK;HARD;1;Netlogon: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: RPC;OK;HARD;1;RpcSs: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: Remote Management;OK;HARD;1;WinRM: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: User Profile;OK;HARD;1;ProfSvc: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: VMWare Tools;OK;HARD;1;VMTools: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: WMI;OK;HARD;1;Winmgmt: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Service: Windows Time;OK;HARD;1;W32Time: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC1;Uptime;OK;HARD;1;System Uptime - 5 day(s) 4 hour(s) 2 minute(s)
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;AD Replication;OK;HARD;1;OK: replication is up and running
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;C:\ Drive Space;OK;HARD;1;c:\ - total: 79.66 Gb - used: 13.06 Gb (16%) - free 66.59 Gb (84%)
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Memory Usage;OK;HARD;1;Memory usage: total:10943.64 MB - used: 2174.92 MB (20%) - free: 8768.72 MB (80%)
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;NSClient++ Version;OK;HARD;1;NSClient++ 0.4.4.15 2015-11-25
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: AD Domain Service;OK;HARD;1;NTDS: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: AD Web Service;OK;HARD;1;ADWS: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: DFS Namespace;OK;HARD;1;Dfs: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: DNS Client;OK;HARD;1;Dnscache: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: DNS Service;OK;HARD;1;DNS: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: Distributed File System Replication;OK;HARD;1;DFSR: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: Firewall;OK;HARD;1;MpsSvc: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: Group Policy;OK;HARD;1;gpsvc: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: Intersite Messaging;OK;HARD;1;IsmServ: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: Key Distribution Center;OK;HARD;1;KDC: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: NetLogin;OK;HARD;1;Netlogon: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: RPC;OK;HARD;1;RpcSs: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: Remote Management;OK;HARD;1;WinRM: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: User Profile;OK;HARD;1;ProfSvc: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: VMWare Tools;OK;HARD;1;VMTools: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: WMI;OK;HARD;1;Winmgmt: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Service: Windows Time;OK;HARD;1;W32Time: Started
[1453957200] CURRENT SERVICE STATE: ADAUTHDC3;Uptime;OK;HARD;1;System Uptime - 5 day(s) 5 hour(s) 47 minute(s)
[1453957200] CURRENT SERVICE STATE: ADCA1;C:\ Drive Space;OK;HARD;1;c:\ - total: 59.90 Gb - used: 31.37 Gb (52%) - free 28.53 Gb (48%)
[1453957200] CURRENT SERVICE STATE: ADCA1;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1453957200] CURRENT SERVICE STATE: ADCA1;Memory Usage;OK;HARD;1;Memory usage: total:7167.17 MB - used: 831.94 MB (12%) - free: 6335.23 MB (88%)
[1453957200] CURRENT SERVICE STATE: ADCA1;NSClient++ Version;OK;HARD;1;NSClient++ 0.4.4.15 2015-11-25
[1453957200] CURRENT SERVICE STATE: ADCA1;Service: DNS Client;OK;HARD;1;Dnscache: Started
[1453957200] CURRENT SERVICE STATE: ADCA1;Service: Firewall;OK;HARD;1;MpsSvc: Started
[1453957200] CURRENT SERVICE STATE: ADCA1;Service: Group Policy;OK;HARD;1;gpsvc: Started
[1453957200] CURRENT SERVICE STATE: ADCA1;Service: NetLogin;OK;HARD;1;Netlogon: Started
[1453957200] CURRENT SERVICE STATE: ADCA1;Service: RPC;OK;HARD;1;RpcSs: Started
